身分,區域別,性別,總計,阿美族,泰雅族,排灣族,布農族,魯凱族,卑南族,鄒族,賽夏族,雅美族,邵族,噶瑪蘭族,太魯閣族,撒奇萊雅族,賽德克族,拉阿魯哇族,卡那卡那富族,尚未申報
不分平地山地,總計,計,540023,200604,85888,96334,56004,12861,13387,6801,6412,4426,760,1378,29731,842,9081,213,125,15176
不分平地山地,總計,男,263252,98564,40730,46707,27132,6259,6468,3261,3101,2189,369,687,14365,424,4547,110,65,8274
不分平地山地,總計,女,276771,102040,45158,49627,28872,6602,6919,3540,3311,2237,391,691,15366,418,4534,103,60,6902
不分平地山地,新北市,計,53418,31555,7036,4169,3523,499,1222,186,481,79,47,278,1891,41,214,3,0,2194
不分平地山地,新北市,男,24849,15077,3086,1907,1593,218,555,71,196,33,25,138,769,29,87,2,0,1063
不分平地山地,新北市,女,28569,16478,3950,2262,1930,281,667,115,285,46,22,140,1122,12,127,1,0,1131
不分平地山地,臺北市,計,15581,7519,2541,1457,967,232,463,154,149,39,18,41,785,25,210,1,0,980
不分平地山地,臺北市,男,6588,3320,975,645,396,105,210,56,60,13,3,17,321,13,73,0,0,381
不分平地山地,臺北市,女,8993,4199,1566,812,571,127,253,98,89,26,15,24,464,12,137,1,0,599
不分平地山地,臺中市,計,30948,9126,8469,6020,3956,381,612,268,187,59,145,41,555,13,566,8,5,537
不分平地山地,臺中市,男,14301,4408,3926,2822,1685,169,275,103,90,20,59,14,241,8,235,3,1,242
不分平地山地,臺中市,女,16647,4718,4543,3198,2271,212,337,165,97,39,86,27,314,5,331,5,4,295
不分平地山地,臺南市,計,6957,2142,583,2188,963,188,282,97,24,13,16,14,217,4,55,2,3,166
不分平地山地,臺南市,男,2909,896,217,924,420,77,127,38,12,7,7,6,88,2,18,1,0,69
不分平地山地,臺南市,女,4048,1246,366,1264,543,111,155,59,12,6,9,8,129,2,37,1,3,97
不分平地山地,高雄市,計,32252,8922,1224,7920,8905,2560,705,853,50,31,14,22,482,5,104,193,114,148
不分平地山地,高雄市,男,15137,4180,510,3427,4478,1257,317,407,18,13,5,9,233,2,38,102,63,78
不分平地山地,高雄市,女,17115,4742,714,4493,4427,1303,388,446,32,18,9,13,249,3,66,91,51,70
不分平地山地,臺灣省,計,399802,140829,65887,74441,37597,8987,10090,5225,5502,4203,519,981,25742,753,7927,6,2,11111
不分平地山地,臺灣省,男,198900,70419,31942,36902,18515,4422,4977,2575,2718,2103,269,503,12679,369,4092,2,0,6413
不分平地山地,臺灣省,女,200902,70410,33945,37539,19082,4565,5113,2650,2784,2100,250,478,13063,384,3835,4,2,4698
不分平地山地,宜蘭縣,計,16523,1938,12392,262,285,50,101,20,18,3,2,8,443,4,33,0,0,964
不分平地山地,宜蘭縣,男,8191,892,6310,96,108,27,39,9,6,0,1,2,174,4,14,0,0,509
不分平地山地,宜蘭縣,女,8332,1046,6082,166,177,23,62,11,12,3,1,6,269,0,19,0,0,455
不分平地山地,桃園縣,計,65440,31036,18881,4972,3804,467,942,178,976,90,18,137,1793,90,347,0,0,1709
不分平地山地,桃園縣,男,31457,15301,9064,2236,1601,240,477,73,411,23,7,78,836,56,160,0,0,894
不分平地山地,桃園縣,女,33983,15735,9817,2736,2203,227,465,105,565,67,11,59,957,34,187,0,0,815
不分平地山地,新竹縣,計,21038,1754,15983,495,383,61,108,26,1572,19,9,9,204,7,43,0,0,365
不分平地山地,新竹縣,男,10398,788,8086,191,135,29,50,12,786,9,5,3,77,4,17,0,0,206
不分平地山地,新竹縣,女,10640,966,7897,304,248,32,58,14,786,10,4,6,127,3,26,0,0,159
不分平地山地,苗栗縣,計,11189,1319,6245,399,336,20,92,24,2414,16,11,15,103,3,35,0,0,157
不分平地山地,苗栗縣,男,5412,542,3100,164,115,6,40,6,1296,7,3,7,42,1,12,0,0,71
不分平地山地,苗栗縣,女,5777,777,3145,235,221,14,52,18,1118,9,8,8,61,2,23,0,0,86
不分平地山地,彰化縣,計,5250,1946,411,1243,870,137,184,44,26,10,23,23,120,0,68,0,0,145
不分平地山地,彰化縣,男,2323,894,143,561,382,57,76,20,12,7,14,13,51,0,30,0,0,63
不分平地山地,彰化縣,女,2927,1052,268,682,488,80,108,24,14,3,9,10,69,0,38,0,0,82
不分平地山地,南投縣,計,28747,882,6062,451,13919,70,64,241,51,6,422,4,109,1,6433,0,0,32
不分平地山地,南投縣,男,14500,362,2938,180,7185,24,22,118,20,3,227,0,36,0,3368,0,0,17
不分平地山地,南投縣,女,14247,520,3124,271,6734,46,42,123,31,3,195,4,73,1,3065,0,0,15
不分平地山地,雲林縣,計,2196,909,290,368,292,39,45,37,20,5,0,4,94,1,14,0,0,78
不分平地山地,雲林縣,男,865,366,94,149,118,19,8,10,9,3,0,3,46,0,5,0,0,35
不分平地山地,雲林縣,女,1331,543,196,219,174,20,37,27,11,2,0,1,48,1,9,0,0,43
不分平地山地,嘉義縣,計,5783,534,183,318,298,31,61,4095,32,0,20,1,49,1,24,0,0,136
不分平地山地,嘉義縣,男,2779,199,60,140,141,14,30,2086,10,0,8,0,15,0,9,0,0,67
不分平地山地,嘉義縣,女,3004,335,123,178,157,17,31,2009,22,0,12,1,34,1,15,0,0,69
不分平地山地,屏東縣,計,58333,2040,436,47773,617,5921,179,73,28,14,4,12,125,4,18,4,1,1084
不分平地山地,屏東縣,男,28998,891,153,24047,213,2909,71,34,5,6,1,2,54,1,7,1,0,603
不分平地山地,屏東縣,女,29335,1149,283,23726,404,3012,108,39,23,8,3,10,71,3,11,3,1,481
不分平地山地,臺東縣,計,79622,37200,455,16610,8274,2057,7660,47,50,4008,3,105,182,4,28,2,1,2936
不分平地山地,臺東縣,男,41075,19298,172,8488,4219,1043,3882,13,21,2036,0,57,63,3,13,1,0,1766
不分平地山地,臺東縣,女,38547,17902,283,8122,4055,1014,3778,34,29,1972,3,48,119,1,15,1,1,1170
不分平地山地,花蓮縣,計,91675,52395,2687,812,7970,70,425,38,57,17,0,643,22133,624,808,0,0,2996
不分平地山地,花蓮縣,男,46335,26508,1126,336,4058,24,191,15,25,5,0,330,11100,296,417,0,0,1904
不分平地山地,花蓮縣,女,45340,25887,1561,476,3912,46,234,23,32,12,0,313,11033,328,391,0,0,1092
不分平地山地,澎湖縣,計,414,148,60,93,37,7,22,7,1,1,0,0,24,0,13,0,0,1
不分平地山地,澎湖縣,男,183,65,21,46,14,3,8,3,0,0,0,0,15,0,7,0,0,1
不分平地山地,澎湖縣,女,231,83,39,47,23,4,14,4,1,1,0,0,9,0,6,0,0,0
不分平地山地,基隆市,計,8971,7206,610,241,241,10,102,25,15,8,3,11,190,7,23,0,0,279
不分平地山地,基隆市,男,4394,3598,242,102,112,3,44,10,6,3,1,5,88,1,14,0,0,165
不分平地山地,基隆市,女,4577,3608,368,139,129,7,58,15,9,5,2,6,102,6,9,0,0,114
不分平地山地,新竹市,計,3688,1343,1128,312,165,36,60,25,237,5,3,3,145,1,31,0,0,194
不分平地山地,新竹市,男,1601,642,416,132,71,19,20,6,107,1,2,2,69,0,15,0,0,99
不分平地山地,新竹市,女,2087,701,712,180,94,17,40,19,130,4,1,1,76,1,16,0,0,95
不分平地山地,嘉義市,計,933,179,64,92,106,11,45,345,5,1,1,6,28,6,9,0,0,35
不分平地山地,嘉義市,男,389,73,17,34,43,5,19,160,4,0,0,1,13,3,4,0,0,13
不分平地山地,嘉義市,女,544,106,47,58,63,6,26,185,1,1,1,5,15,3,5,0,0,22
不分平地山地,福建省,計,1065,511,148,139,93,14,13,18,19,2,1,1,59,1,5,0,1,40
不分平地山地,福建省,男,568,264,74,80,45,11,7,11,7,0,1,0,34,1,4,0,1,28
不分平地山地,福建省,女,497,247,74,59,48,3,6,7,12,2,0,1,25,0,1,0,0,12
不分平地山地,金門縣,計,888,446,110,110,84,14,10,13,16,0,1,1,38,1,4,0,1,39
不分平地山地,金門縣,男,462,226,50,62,39,11,5,7,6,0,1,0,21,1,4,0,1,28
不分平地山地,金門縣,女,426,220,60,48,45,3,5,6,10,0,0,1,17,0,0,0,0,11
不分平地山地,連江縣,計,177,65,38,29,9,0,3,5,3,2,0,0,21,0,1,0,0,1
不分平地山地,連江縣,男,106,38,24,18,6,0,2,4,1,0,0,0,13,0,0,0,0,0
不分平地山地,連江縣,女,71,27,14,11,3,0,1,1,2,2,0,0,8,0,1,0,0,1
平地原住民,總計,計,253716,199502,1761,19833,365,2495,13295,16,4310,9,753,1376,150,840,20,0,0,8991
平地原住民,總計,男,124920,98112,786,9610,128,1229,6432,5,2093,1,367,687,68,423,10,0,0,4969
平地原住民,總計,女,128796,101390,975,10223,237,1266,6863,11,2217,8,386,689,82,417,10,0,0,4022
平地原住民,新北市,計,36974,31453,123,1532,59,188,1208,0,325,2,47,278,16,41,1,0,0,1701
平地原住民,新北市,男,17626,15034,40,719,15,82,551,0,132,0,25,138,6,29,0,0,0,855
平地原住民,新北市,女,19348,16419,83,813,44,106,657,0,193,2,22,140,10,12,1,0,0,846
平地原住民,臺北市,計,9401,7488,65,449,4,57,463,0,88,0,18,41,6,25,1,0,0,696
平地原住民,臺北市,男,4112,3304,26,200,2,25,210,0,40,0,3,17,1,13,0,0,0,271
平地原住民,臺北市,女,5289,4184,39,249,2,32,253,0,48,0,15,24,5,12,1,0,0,425
平地原住民,臺中市,計,12395,9033,97,1812,43,167,606,0,165,0,145,40,8,13,2,0,0,264
平地原住民,臺中市,男,5941,4380,41,862,17,75,272,0,82,0,59,14,4,8,0,0,0,127
平地原住民,臺中市,女,6454,4653,56,950,26,92,334,0,83,0,86,26,4,5,2,0,0,137
平地原住民,臺南市,計,3116,2115,9,518,22,24,282,0,14,0,16,14,2,4,0,0,0,96
平地原住民,臺南市,男,1330,888,6,225,11,9,127,0,6,0,7,6,1,2,0,0,0,42
平地原住民,臺南市,女,1786,1227,3,293,11,15,155,0,8,0,9,8,1,2,0,0,0,54
平地原住民,高雄市,計,11738,8815,30,1892,40,89,691,4,38,1,14,22,3,5,0,0,0,94
平地原住民,高雄市,男,5468,4136,14,857,18,50,312,4,14,0,5,9,1,2,0,0,0,46
平地原住民,高雄市,女,6270,4679,16,1035,22,39,379,0,24,1,9,13,2,3,0,0,0,48
平地原住民,臺灣省,計,179486,140089,1434,13603,196,1964,10032,12,3664,6,512,980,115,751,16,0,0,6112
平地原住民,臺灣省,男,90128,70107,658,6735,65,984,4953,1,1813,1,267,503,55,368,10,0,0,3608
平地原住民,臺灣省,女,89358,69982,776,6868,131,980,5079,11,1851,5,245,477,60,383,6,0,0,2504
平地原住民,宜蘭縣,計,2357,1917,29,117,0,22,98,0,9,0,1,8,0,4,0,0,0,152
平地原住民,宜蘭縣,男,1069,883,12,47,0,9,39,0,1,0,1,2,0,4,0,0,0,71
平地原住民,宜蘭縣,女,1288,1034,17,70,0,13,59,0,8,0,0,6,0,0,0,0,0,81
平地原住民,桃園縣,計,35987,30884,289,1556,35,199,928,1,741,0,18,137,9,90,5,0,0,1095
平地原住民,桃園縣,男,17726,15235,110,727,13,106,469,0,306,0,7,78,5,56,4,0,0,610
平地原住民,桃園縣,女,18261,15649,179,829,22,93,459,1,435,0,11,59,4,34,1,0,0,485
平地原住民,新竹縣,計,2744,1728,356,136,4,20,108,0,291,1,9,9,1,7,0,0,0,74
平地原住民,新竹縣,男,1232,784,174,46,0,10,50,0,122,0,5,3,1,4,0,0,0,33
平地原住民,新竹縣,女,1512,944,182,90,4,10,58,0,169,1,4,6,0,3,0,0,0,41
平地原住民,苗栗縣,計,4481,1305,562,81,10,7,87,4,2324,0,10,15,0,3,0,0,0,73
平地原住民,苗栗縣,男,2209,539,294,26,1,1,36,0,1267,0,3,7,0,1,0,0,0,34
平地原住民,苗栗縣,女,2272,766,268,55,9,6,51,4,1057,0,7,8,0,2,0,0,0,39
平地原住民,彰化縣,計,2682,1916,21,358,11,46,183,0,17,0,22,23,1,0,1,0,0,83
平地原住民,彰化縣,男,1235,884,7,171,5,18,76,0,6,0,14,13,0,0,0,0,0,41
平地原住民,彰化縣,女,1447,1032,14,187,6,28,107,0,11,0,8,10,1,0,1,0,0,42
平地原住民,南投縣,計,1531,870,15,101,18,5,62,0,24,0,421,4,3,1,0,0,0,7
平地原住民,南投縣,男,677,360,5,41,9,1,21,0,7,0,227,0,2,0,0,0,0,4
平地原住民,南投縣,女,854,510,10,60,9,4,41,0,17,0,194,4,1,1,0,0,0,3
平地原住民,雲林縣,計,1111,898,4,87,0,3,45,0,17,0,0,4,0,1,2,0,0,50
平地原住民,雲林縣,男,443,361,1,37,0,1,8,0,6,0,0,3,0,0,0,0,0,26
平地原住民,雲林縣,女,668,537,3,50,0,2,37,0,11,0,0,1,0,1,2,0,0,24
平地原住民,嘉義縣,計,772,530,13,74,0,9,59,3,21,0,18,1,1,1,0,0,0,42
平地原住民,嘉義縣,男,305,197,3,35,0,4,30,0,6,0,7,0,0,0,0,0,0,23
平地原住民,嘉義縣,女,467,333,10,39,0,5,29,3,15,0,11,1,1,1,0,0,0,19
平地原住民,屏東縣,計,4201,1752,14,2090,2,72,173,0,8,0,3,12,0,4,0,0,0,71
平地原住民,屏東縣,男,1962,747,5,1076,0,27,70,0,0,0,0,2,0,1,0,0,0,34
平地原住民,屏東縣,女,2239,1005,9,1014,2,45,103,0,8,0,3,10,0,3,0,0,0,37
平地原住民,臺東縣,計,57471,37140,27,8496,61,1524,7643,2,35,2,3,105,4,4,0,0,0,2425
平地原住民,臺東縣,男,29812,19275,10,4317,17,784,3875,1,17,0,0,57,1,3,0,0,0,1455
平地原住民,臺東縣,女,27659,17865,17,4179,44,740,3768,1,18,2,3,48,3,1,0,0,0,970
平地原住民,花蓮縣,計,56214,52309,52,288,54,34,419,1,44,1,0,642,92,622,3,0,0,1653
平地原住民,花蓮縣,男,28577,26476,18,122,19,12,189,0,19,1,0,330,44,295,2,0,0,1050
平地原住民,花蓮縣,女,27637,25833,34,166,35,22,230,1,25,0,0,312,48,327,1,0,0,603
平地原住民,澎湖縣,計,201,148,1,28,0,0,21,0,1,1,0,0,0,0,0,0,0,1
平地原住民,澎湖縣,男,83,65,0,9,0,0,8,0,0,0,0,0,0,0,0,0,0,1
平地原住民,澎湖縣,女,118,83,1,19,0,0,13,0,1,1,0,0,0,0,0,0,0,0
平地原住民,基隆市,計,7659,7175,11,86,1,1,101,0,8,1,3,11,1,7,4,0,0,249
平地原住民,基隆市,男,3842,3587,4,41,1,0,43,0,2,0,1,5,1,1,3,0,0,153
平地原住民,基隆市,女,3817,3588,7,45,0,1,58,0,6,1,2,6,0,6,1,0,0,96
平地原住民,新竹市,計,1788,1338,39,82,0,13,60,0,123,0,3,3,3,1,0,0,0,123
平地原住民,新竹市,男,842,641,15,34,0,7,20,0,54,0,2,2,1,0,0,0,0,66
平地原住民,新竹市,女,946,697,24,48,0,6,40,0,69,0,1,1,2,1,0,0,0,57
平地原住民,嘉義市,計,287,179,1,23,0,9,45,1,1,0,1,6,0,6,1,0,0,14
平地原住民,嘉義市,男,114,73,0,6,0,4,19,0,0,0,0,1,0,3,1,0,0,7
平地原住民,嘉義市,女,173,106,1,17,0,5,26,1,1,0,1,5,0,3,0,0,0,7
平地原住民,福建省,計,606,509,3,27,1,6,13,0,16,0,1,1,0,1,0,0,0,28
平地原住民,福建省,男,315,263,1,12,0,4,7,0,6,0,1,0,0,1,0,0,0,20
平地原住民,福建省,女,291,246,2,15,1,2,6,0,10,0,0,1,0,0,0,0,0,8
平地原住民,金門縣,計,519,444,3,12,0,6,10,0,14,0,1,1,0,1,0,0,0,27
平地原住民,金門縣,男,266,225,1,4,0,4,5,0,5,0,1,0,0,1,0,0,0,20
平地原住民,金門縣,女,253,219,2,8,0,2,5,0,9,0,0,1,0,0,0,0,0,7
平地原住民,連江縣,計,87,65,0,15,1,0,3,0,2,0,0,0,0,0,0,0,0,1
平地原住民,連江縣,男,49,38,0,8,0,0,2,0,1,0,0,0,0,0,0,0,0,0
平地原住民,連江縣,女,38,27,0,7,1,0,1,0,1,0,0,0,0,0,0,0,0,1
山地原住民,總計,計,286307,1102,84127,76501,55639,10366,92,6785,2102,4417,7,2,29581,2,9061,213,125,6185
山地原住民,總計,男,138332,452,39944,37097,27004,5030,36,3256,1008,2188,2,0,14297,1,4537,110,65,3305
山地原住民,總計,女,147975,650,44183,39404,28635,5336,56,3529,1094,2229,5,2,15284,1,4524,103,60,2880
山地原住民,新北市,計,16444,102,6913,2637,3464,311,14,186,156,77,0,0,1875,0,213,3,0,493
山地原住民,新北市,男,7223,43,3046,1188,1578,136,4,71,64,33,0,0,763,0,87,2,0,208
山地原住民,新北市,女,9221,59,3867,1449,1886,175,10,115,92,44,0,0,1112,0,126,1,0,285
山地原住民,臺北市,計,6180,31,2476,1008,963,175,0,154,61,39,0,0,779,0,209,1,0,284
山地原住民,臺北市,男,2476,16,949,445,394,80,0,56,20,13,0,0,320,0,73,0,0,110
山地原住民,臺北市,女,3704,15,1527,563,569,95,0,98,41,26,0,0,459,0,136,1,0,174
山地原住民,臺中市,計,18553,93,8372,4208,3913,214,6,268,22,59,0,1,547,0,564,8,5,273
山地原住民,臺中市,男,8360,28,3885,1960,1668,94,3,103,8,20,0,0,237,0,235,3,1,115
山地原住民,臺中市,女,10193,65,4487,2248,2245,120,3,165,14,39,0,1,310,0,329,5,4,158
山地原住民,臺南市,計,3841,27,574,1670,941,164,0,97,10,13,0,0,215,0,55,2,3,70
山地原住民,臺南市,男,1579,8,211,699,409,68,0,38,6,7,0,0,87,0,18,1,0,27
山地原住民,臺南市,女,2262,19,363,971,532,96,0,59,4,6,0,0,128,0,37,1,3,43
山地原住民,高雄市,計,20514,107,1194,6028,8865,2471,14,849,12,30,0,0,479,0,104,193,114,54
山地原住民,高雄市,男,9669,44,496,2570,4460,1207,5,403,4,13,0,0,232,0,38,102,63,32
山地原住民,高雄市,女,10845,63,698,3458,4405,1264,9,446,8,17,0,0,247,0,66,91,51,22
山地原住民,臺灣省,計,220316,740,64453,60838,37401,7023,58,5213,1838,4197,7,1,25627,2,7911,6,2,4999
山地原住民,臺灣省,男,108772,312,31284,30167,18450,3438,24,2574,905,2102,2,0,12624,1,4082,2,0,2805
山地原住民,臺灣省,女,111544,428,33169,30671,18951,3585,34,2639,933,2095,5,1,13003,1,3829,4,2,2194
山地原住民,宜蘭縣,計,14166,21,12363,145,285,28,3,20,9,3,1,0,443,0,33,0,0,812
山地原住民,宜蘭縣,男,7122,9,6298,49,108,18,0,9,5,0,0,0,174,0,14,0,0,438
山地原住民,宜蘭縣,女,7044,12,6065,96,177,10,3,11,4,3,1,0,269,0,19,0,0,374
山地原住民,桃園縣,計,29453,152,18592,3416,3769,268,14,177,235,90,0,0,1784,0,342,0,0,614
山地原住民,桃園縣,男,13731,66,8954,1509,1588,134,8,73,105,23,0,0,831,0,156,0,0,284
山地原住民,桃園縣,女,15722,86,9638,1907,2181,134,6,104,130,67,0,0,953,0,186,0,0,330
山地原住民,新竹縣,計,18294,26,15627,359,379,41,0,26,1281,18,0,0,203,0,43,0,0,291
山地原住民,新竹縣,男,9166,4,7912,145,135,19,0,12,664,9,0,0,76,0,17,0,0,173
山地原住民,新竹縣,女,9128,22,7715,214,244,22,0,14,617,9,0,0,127,0,26,0,0,118
山地原住民,苗栗縣,計,6708,14,5683,318,326,13,5,20,90,16,1,0,103,0,35,0,0,84
山地原住民,苗栗縣,男,3203,3,2806,138,114,5,4,6,29,7,0,0,42,0,12,0,0,37
山地原住民,苗栗縣,女,3505,11,2877,180,212,8,1,14,61,9,1,0,61,0,23,0,0,47
山地原住民,彰化縣,計,2568,30,390,885,859,91,1,44,9,10,1,0,119,0,67,0,0,62
山地原住民,彰化縣,男,1088,10,136,390,377,39,0,20,6,7,0,0,51,0,30,0,0,22
山地原住民,彰化縣,女,1480,20,254,495,482,52,1,24,3,3,1,0,68,0,37,0,0,40
山地原住民,南投縣,計,27216,12,6047,350,13901,65,2,241,27,6,1,0,106,0,6433,0,0,25
山地原住民,南投縣,男,13823,2,2933,139,7176,23,1,118,13,3,0,0,34,0,3368,0,0,13
山地原住民,南投縣,女,13393,10,3114,211,6725,42,1,123,14,3,1,0,72,0,3065,0,0,12
山地原住民,雲林縣,計,1085,11,286,281,292,36,0,37,3,5,0,0,94,0,12,0,0,28
山地原住民,雲林縣,男,422,5,93,112,118,18,0,10,3,3,0,0,46,0,5,0,0,9
山地原住民,雲林縣,女,663,6,193,169,174,18,0,27,0,2,0,0,48,0,7,0,0,19
山地原住民,嘉義縣,計,5011,4,170,244,298,22,2,4092,11,0,2,0,48,0,24,0,0,94
山地原住民,嘉義縣,男,2474,2,57,105,141,10,0,2086,4,0,1,0,15,0,9,0,0,44
山地原住民,嘉義縣,女,2537,2,113,139,157,12,2,2006,7,0,1,0,33,0,15,0,0,50
山地原住民,屏東縣,計,54132,288,422,45683,615,5849,6,73,20,14,1,0,125,0,18,4,1,1013
山地原住民,屏東縣,男,27036,144,148,22971,213,2882,1,34,5,6,1,0,54,0,7,1,0,569
山地原住民,屏東縣,女,27096,144,274,22712,402,2967,5,39,15,8,0,0,71,0,11,3,1,444
山地原住民,臺東縣,計,22151,60,428,8114,8213,533,17,45,15,4006,0,0,178,0,28,2,1,511
山地原住民,臺東縣,男,11263,23,162,4171,4202,259,7,12,4,2036,0,0,62,0,13,1,0,311
山地原住民,臺東縣,女,10888,37,266,3943,4011,274,10,33,11,1970,0,0,116,0,15,1,1,200
山地原住民,花蓮縣,計,35461,86,2635,524,7916,36,6,37,13,16,0,1,22041,2,805,0,0,1343
山地原住民,花蓮縣,男,17758,32,1108,214,4039,12,2,15,6,4,0,0,11056,1,415,0,0,854
山地原住民,花蓮縣,女,17703,54,1527,310,3877,24,4,22,7,12,0,1,10985,1,390,0,0,489
山地原住民,澎湖縣,計,213,0,59,65,37,7,1,7,0,0,0,0,24,0,13,0,0,0
山地原住民,澎湖縣,男,100,0,21,37,14,3,0,3,0,0,0,0,15,0,7,0,0,0
山地原住民,澎湖縣,女,113,0,38,28,23,4,1,4,0,0,0,0,9,0,6,0,0,0
山地原住民,基隆市,計,1312,31,599,155,240,9,1,25,7,7,0,0,189,0,19,0,0,30
山地原住民,基隆市,男,552,11,238,61,111,3,1,10,4,3,0,0,87,0,11,0,0,12
山地原住民,基隆市,女,760,20,361,94,129,6,0,15,3,4,0,0,102,0,8,0,0,18
山地原住民,新竹市,計,1900,5,1089,230,165,23,0,25,114,5,0,0,142,0,31,0,0,71
山地原住民,新竹市,男,759,1,401,98,71,12,0,6,53,1,0,0,68,0,15,0,0,33
山地原住民,新竹市,女,1141,4,688,132,94,11,0,19,61,4,0,0,74,0,16,0,0,38
山地原住民,嘉義市,計,646,0,63,69,106,2,0,344,4,1,0,0,28,0,8,0,0,21
山地原住民,嘉義市,男,275,0,17,28,43,1,0,160,4,0,0,0,13,0,3,0,0,6
山地原住民,嘉義市,女,371,0,46,41,63,1,0,184,0,1,0,0,15,0,5,0,0,15
山地原住民,福建省,計,459,2,145,112,92,8,0,18,3,2,0,0,59,0,5,0,1,12
山地原住民,福建省,男,253,1,73,68,45,7,0,11,1,0,0,0,34,0,4,0,1,8
山地原住民,福建省,女,206,1,72,44,47,1,0,7,2,2,0,0,25,0,1,0,0,4
山地原住民,金門縣,計,369,2,107,98,84,8,0,13,2,0,0,0,38,0,4,0,1,12
山地原住民,金門縣,男,196,1,49,58,39,7,0,7,1,0,0,0,21,0,4,0,1,8
山地原住民,金門縣,女,173,1,58,40,45,1,0,6,1,0,0,0,17,0,0,0,0,4
山地原住民,連江縣,計,90,0,38,14,8,0,0,5,1,2,0,0,21,0,1,0,0,0
山地原住民,連江縣,男,57,0,24,10,6,0,0,4,0,0,0,0,13,0,0,0,0,0
山地原住民,連江縣,女,33,0,14,4,2,0,0,1,1,2,0,0,8,0,1,0,0,0
